,date,content,links,titles,num
0,20210114,기계학습 Ensemble기법,[],[],0.0
1,20210115,기계학습 강화학습,[],[],0.0
2,20210118,기계학습 강화학습2,[],[],0.0
3,20210119,딥러닝 기본 딥러닝 이해,[],[],0.0
4,20210120,딥러닝 기본 DNN,[],[],0.0
5,20210121,딥러닝 기본 DNN,[],[],1.0
6,20210122,딥러닝 기본 CNN,[],[],0.0
7,20210125,딥러닝 기본 CNN,[],[],1.0
8,20210126,딥러닝 기본 RNN,[],[],0.0
9,20210127,딥러닝 기본 RNN,[],[],1.0
10,20210128,딥러닝 기본 다양한 딥러닝 기법,[],[],0.0
11,20210129,딥러닝 기본 다양한 딥러닝 기법,[],[],1.0
12,20210201,자연어 처리 자연어 처리,[],[],0.0
13,20210202,자연어 처리 자연어 처리기술의 이해,[],[],0.0
14,20210203,자연어 처리 자연어처리 시스템의 이해,[],[],0.0
15,20210204,자연어 처리 기계학습과 자연어처리 시스템,[],[],0.0
16,20210205,자연어 처리 기계학습과 자연어처리 시스템,[],[],1.0
17,20210208,자연어 처리 자연어처리 오픈소스 프로젝트,[],[],0.0
18,20210209,자연어 처리 자연어처리 오픈소스 프로젝트,[],[],1.0
19,20210215,컴퓨터 비전 픽셀 데이터 처리를 위한 이미지 처리,[],[],0.0
20,20210216,컴퓨터 비전 픽셀 데이터 처리를 위한 이미지 처리,[],[],1.0
21,20210217,컴퓨터 비전 시각인지를 위한 딥러닝,[],[],0.0
22,20210218,컴퓨터 비전 시각인지를 위한 딥러닝,[],[],1.0
23,20210219,컴퓨터 비전 딥러닝 시각 인지 아키텍쳐 이해,[],[],0.0
24,20210222,컴퓨터 비전 딥러닝 시각 인지 아키텍쳐 이해,[],[],1.0
25,20210223,컴퓨터 비전 딥러닝 기반 영상처리 프로젝트,[],[],0.0
26,20210224,컴퓨터 비전 딥러닝 기반 영상처리 프로젝트,[],[],1.0
27,20210225,지능형 IoT 아두이노 플랫폼,[],[],0.0
28,20210226,지능형 IoT 타이젠 플랫폼,[],[],0.0
29,20210302,지능형 IoT 사물인터넷 통신,[],[],0.0
30,20210303,지능형 IoT 딥러닝 지능형 IoT,[],[],0.0
31,20210304,자연어 처리 자연어 처리기술의 이해,[],[],0.0
32,20210305,세미 프로젝트1 프로젝트 시스템 설계,[],[],0.0
33,20210306,딥러닝 기본 딥러닝 이해,[],[],0.0
34,20210308,세미 프로젝트1 파이썬 응용프로젝트 계획,[],[],0.0
35,20210309,세미 프로젝트1 스케쥴링과 인프라 구축,[],[],0.0
36,20210310,세미 프로젝트1 프로젝트 시스템 설계,[],[],0.0
37,20210311,세미 프로젝트1 프로젝트 개발,[],[],0.0
38,20210312,세미 프로젝트1 프로젝트 테스트,[],[],0.0
39,20210313,지능형 IoT 타이젠 플랫폼,[],[],0.0
40,20210316,세미 프로젝트2 추론탐색알고리즘 프로젝트 계획,[],[],0.0
41,20210317,세미 프로젝트2 스케쥴링과 인프라 구축,[],[],0.0
42,20210318,세미 프로젝트2 프로젝트 기획,[],[],0.0
43,20210319,세미 프로젝트2 프로젝트 시스템 설계,[],[],0.0
44,20210320,컴퓨터 비전 픽셀 데이터 처리를 위한 이미지 처리,[],[],0.0
45,20210323,세미 프로젝트2 프로젝트 개발,[],[],0.0
46,20210324,세미 프로젝트2 프로젝트 개발,[],[],1.0
47,20210325,세미 프로젝트2 프로젝트 테스트,[],[],0.0
48,20210326,세미 프로젝트2 프로젝트 테스트,[],[],1.0
49,20210327,컴퓨터 비전 딥러닝 기반 영상처리 프로젝트,[],[],0.0
50,20210330,기계학습 강화학습,[],[],0.0
51,20210331,파이널 프로젝트 데이터분석 시각화 프로젝트 계획,[],[],0.0
52,20210401,파이널 프로젝트 스케줄링과 인프라 구축,[],[],0.0
53,20210402,파이널 프로젝트 프로젝트 기획,[],[],0.0
54,20210403,세미 프로젝트1 파이썬 응용프로젝트 계획,[],[],0.0
55,20210406,파이널 프로젝트 프로젝트 시스템 설계,[],[],0.0
56,20210407,파이널 프로젝트 프로젝트 시스템 설계,[],[],1.0
57,20210408,세미 프로젝트2 스케쥴링과 인프라 구축,[],[],0.0
58,20210409,컴퓨터 비전 시각인지를 위한 딥러닝,[],[],0.0
