일자별 시간표 내역을 입력합니다,,,,교시별 세부 시간표 내역을 입력합니다,,,,
훈련일자,훈련시작시간,훈련종료시간,방학여부,시작시간,시간구분,훈련강사코드,교육장소(강의실)코드,교과목(및 능력단위)코드
20201214,0900,1800,N,0900,1,김병선,YGL_C1(실습겸용강의실)_222802,특강_특강_13
20201214,0900,1800,N,1200,2,,,
20201214,0900,1800,N,1300,1,김병선,YGL_C1(실습겸용강의실)_222802,특강_특강_13
20201215,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_디지털 트랜스포메이션_2
20201215,0900,1800,N,1200,2,,,
20201215,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_디지털 트랜스포메이션_2
20201216,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_디지털 트랜스포메이션_2
20201216,0900,1800,N,1200,2,,,
20201216,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_디지털 트랜스포메이션_2
20201217,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 기본_2
20201217,0900,1800,N,1200,2,,,
20201217,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 기본_2
20201218,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 기본_2
20201218,0900,1800,N,1200,2,,,
20201218,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 기본_2
20201221,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 기본_2
20201221,0900,1800,N,1200,2,,,
20201221,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 기본_2
20201222,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20201222,0900,1800,N,1200,2,,,
20201222,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20201223,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20201223,0900,1800,N,1200,2,,,
20201223,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20201224,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20201224,0900,1800,N,1200,2,,,
20201224,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20201228,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20201228,0900,1800,N,1200,2,,,
20201228,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20201229,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20201229,0900,1800,N,1200,2,,,
20201229,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,개발기초 역량교육_Python 실무_2
20210104,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_기계학습 이해_3
20210104,0900,1800,N,1200,2,,,
20210104,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_기계학습 이해_3
20210105,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_데이터 전처리_3
20210105,0900,1800,N,1200,2,,,
20210105,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_데이터 전처리_3
20210106,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_데이터시각화_3
20210106,0900,1800,N,1200,2,,,
20210106,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_데이터시각화_3
20210107,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,"기계학습_Feature Selection, Feature Ext..._3"
20210107,0900,1800,N,1200,2,,,
20210107,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,"기계학습_Feature Selection, Feature Ext..._3"
20210108,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_Clustering_3
20210108,0900,1800,N,1200,2,,,
20210108,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_Clustering_3
20210111,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_분류/희귀분석모델_3
20210111,0900,1800,N,1200,2,,,
20210111,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_분류/희귀분석모델_3
20210112,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_기초확률과 통계학습_3
20210112,0900,1800,N,1200,2,,,
20210112,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_기초확률과 통계학습_3
20210113,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_확률기반 모델_3
20210113,0900,1800,N,1200,2,,,
20210113,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_확률기반 모델_3
20210114,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_Ensemble기법_3
20210114,0900,1800,N,1200,2,,,
20210114,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_Ensemble기법_3
20210115,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_강화학습_3
20210115,0900,1800,N,1200,2,,,
20210115,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_강화학습_3
20210118,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_강화학습2_3
20210118,0900,1800,N,1200,2,,,
20210118,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기계학습_강화학습2_3
20210119,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_딥러닝 이해_5
20210119,0900,1800,N,1200,2,,,
20210119,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_딥러닝 이해_5
20210120,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_DNN_5
20210120,0900,1800,N,1200,2,,,
20210120,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_DNN_5
20210121,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_DNN_5
20210121,0900,1800,N,1200,2,,,
20210121,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_DNN_5
20210122,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_CNN_5
20210122,0900,1800,N,1200,2,,,
20210122,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_CNN_5
20210125,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_CNN_5
20210125,0900,1800,N,1200,2,,,
20210125,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_CNN_5
20210126,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_RNN_5
20210126,0900,1800,N,1200,2,,,
20210126,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_RNN_5
20210127,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_RNN_5
20210127,0900,1800,N,1200,2,,,
20210127,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_RNN_5
20210128,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_다양한 딥러닝 기법_5
20210128,0900,1800,N,1200,2,,,
20210128,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_다양한 딥러닝 기법_5
20210129,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_다양한 딥러닝 기법_5
20210129,0900,1800,N,1200,2,,,
20210129,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,딥러닝 기본_다양한 딥러닝 기법_5
20210201,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어 처리_10
20210201,0900,1800,N,1200,2,,,
20210201,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어 처리_10
20210202,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어 처리기술의 이해_10
20210202,0900,1800,N,1200,2,,,
20210202,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어 처리기술의 이해_10
20210203,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 시스템의 이해_10
20210203,0900,1800,N,1200,2,,,
20210203,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 시스템의 이해_10
20210204,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_기계학습과 자연어처리 시스템_10
20210204,0900,1800,N,1200,2,,,
20210204,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_기계학습과 자연어처리 시스템_10
20210205,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_기계학습과 자연어처리 시스템_10
20210205,0900,1800,N,1200,2,,,
20210205,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_기계학습과 자연어처리 시스템_10
20210208,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 오픈소스 프로젝트_10
20210208,0900,1800,N,1200,2,,,
20210208,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,자연어 처리_자연어처리 오픈소스 프로젝트_10
